--- NEW ENTRY ---
F001::Formula:: 0 :: Sc Cl2
F002::Number of Atoms:: 0 :: 3
F003::Metal:: 0 :: Sc
F004::Metal Oxidation State:: 0 :: 2
F005::Formal Occupation of d orbitals:: 0 :: 1
F006::Spin Multiplicity:: 0 :: 2
F007::Coordination Number:: 0 :: 2
F008::Compute Method:: 0 :: TPSSH
F009::Basis Set/Force Field:: 0 :: TZVP
F010::Equilibrium Geometry Name:: 0 :: angular
F011::Equilibrium Geometry:: 3
   1   Sc  +0.110994  +0.000000  +0.252170
   2   Cl  -0.094788  +0.000000  +2.545625
   3   Cl  +1.889050  +0.000000  -1.212595
F012::Total Charge ::0 ::  0.00
F013::E(HOMO) ::0 ::      -1.73298000e-01
F014::E(LUMO) ::0 ::      -1.09634000e-01
F015::HOMO-LUMO Gap (eV) ::0 ::             1.732361
F016::Electronic Contrib. to Dipole Moment ::1 
   -1.937460e+00    -0.000000e+00    -1.020360e+00 
F017::Nuclear Contrib. to Dipole Moment ::1 
    5.079100e-01     0.000000e+00     2.677000e-01 
F018::Total Dipole Moment ::1 
   -1.429550e+00    -0.000000e+00    -7.526600e-01 
F019::Dipole Moment Magnitude (Debye)::0 ::         4.106480e+00
F020::Molecular Weight ::0 ::   115.855908
F030::Electronic Contrib. to Quadrupole Tensor ::1 
 -1.782245e+02  -3.201360e+01  -4.746786e+02   0.000000e+00   2.169883e+02  -0.000000e+00 
F031::Nuclear Contrib. to Quadrupole Tensor ::1 
  1.481168e+02   0.000000e+00   4.366874e+02   0.000000e+00  -2.112076e+02   0.000000e+00 
F032::Quadrupole Tensor ::1 
 -3.010763e+01  -3.201360e+01  -3.799116e+01   0.000000e+00   5.780640e+00  -0.000000e+00 
F033::Diagonalized Quadrupole Tensor ::1 
 -4.104606e+01  -3.201360e+01  -2.705274e+01 
F034::Isotropic Quadrupole ::0::        -3.337080e+01 
F035::Isotropic Polarizability ::0::         8.690702e+01 
F036::Polarizability Tensor ::1 
  6.100196e+01   1.253748e+02   7.434427e+01   0.000000e+00  -9.666050e+00   7.000000e-05 
F037::Diagonalized Polarizability Tensor ::1 
  5.592847e+01   7.941776e+01   1.253748e+02 
F050::IR Spectrum:: 3
   1  454.1  182.05
   2  354.1   34.87
   3   48.4   14.33
F051::Thermochemistry - Electronic Energy:: 0:: -1681.31480938
F052::Thermochemistry - Internal Energy (U):: 13
    0.00       -1681.31285785
   50.00       -1681.31230987
  100.00       -1681.31167570
  150.00       -1681.31097668
  200.00       -1681.31020918
  250.00       -1681.30939079
  273.15       -1681.30899940
  298.15       -1681.30856992
  300.00       -1681.30853789
  350.00       -1681.30766160
  400.00       -1681.30676909
  450.00       -1681.30586501
  500.00       -1681.30495244
F053::Thermochemistry - Enthalpy (H):: 13
    0.00       -1681.31285785
   50.00       -1681.31215152
  100.00       -1681.31135901
  150.00       -1681.31050165
  200.00       -1681.30957580
  250.00       -1681.30859907
  273.15       -1681.30813437
  298.15       -1681.30762571
  300.00       -1681.30758782
  350.00       -1681.30655318
  400.00       -1681.30550233
  450.00       -1681.30443990
  500.00       -1681.30336899
F054::Thermochemistry - Gibbs Energy (G):: 13
    0.00       -1681.31285778
   50.00       -1681.31638471
  100.00       -1681.32083403
  150.00       -1681.32566812
  200.00       -1681.33077750
  250.00       -1681.33610750
  273.15       -1681.33863958
  298.15       -1681.34141513
  300.00       -1681.34162213
  350.00       -1681.34729523
  400.00       -1681.35310685
  450.00       -1681.35904135
  500.00       -1681.36508613
F100::AIM Atomic Charges - Q(A):: 3
    1  +1.433
    2  -0.716
    3  -0.717
